"time","sut.desired_angle","sut.control_force","sut.crane_angle","sut.crane_wire_join.measured_weight"
0,0.5235987755982988,0.2617993877991494,0,65.00743677415015
0.01,0.5235987755982988,0.25910698657939235,5.288937528226409e-5,64.79563696609593
0.02,0.5235987755982988,0.2564320551183986,2.105674687944744e-4,64.58450624840266
0.03,0.5235987755982988,0.25377456370415136,4.718126267600651e-4,64.37401475079162
0.04,0.5235987755982988,0.25113448893425155,8.352153330938789e-4,64.16413353555306
0.05,0.5235987755982988,0.24851182279378048,0.001299463656194369,63.95483362188647
0.06,0.5235987755982988,0.24590656323361446,0.0018632289022252092,63.74608617724587
0.07,0.5235987755982988,0.24331871331093202,0.0025250614219088506,63.53786338561531
0.08,0.5235987755982988,0.24074829685282886,0.003283500097445005,63.330139127016835
0.09,0.5235987755982988,0.2381953363739794,0.0041371222546478965,63.12288704220008
0.1,0.5235987755982988,0.23565987623695053,0.005084515823898754,62.9160827058538
0.11,0.5235987755982988,0.23314197089928995,0.006124322829262318,62.709702512232035
0.12,0.5235987755982988,0.23064167289028648,0.007255171172276643,62.503723373699884
0.13,0.5235987755982988,0.22815905660853714,0.008475739860491206,62.298124223146026
0.14,0.5235987755982988,0.22569418767387017,0.00978465712858722,62.092884522966884
0.15,0.5235987755982988,0.22324713788204212,0.011180550125889761,61.88798519182977
0.16,0.5235987755982988,0.22081799003540567,0.012662068651521493,61.68340890378406
0.17,0.5235987755982988,0.21840683344118053,0.014227864672436093,61.47914000196456
0.18,0.5235987755982988,0.21601375721186286,0.01587657447471893,61.27516422420003
0.19,0.5235987755982988,0.21363885329295193,0.017606830581889457,61.07146894113094
0.2,0.5235987755982988,0.211282223577232,0.019417286101575726,60.868043587027906
0.21,0.5235987755982988,0.20894397708027082,0.021306618685101926,60.664879456705464
0.22,0.5235987755982988,0.2066242225228524,0.023273483820461776,60.46196961478002
0.23,0.5235987755982988,0.20432306463321598,0.025316526397779957,60.25930856640347
0.24,0.5235987755982988,0.2020406190916091,0.027434413637272177,60.05689318450228
0.25,0.5235987755982988,0.1997770051387027,0.029625837041315915,59.85472211964603
0.26,0.5235987755982988,0.19753234325559998,0.03188947443689606,59.65279603492534
0.27,0.5235987755982988,0.1953067469732379,0.034223984228960065,59.45111705469804
0.28,0.5235987755982988,0.1931003383693373,0.03662804625969956,59.24968960195714
0.29,0.5235987755982988,0.190913242141618,0.03910036267007126,59.04851990251704
0.3,0.5235987755982988,0.18874558333715286,0.04163962775142319,58.84761614274547
0.31,0.5235987755982988,0.18659748270109242,0.044244523618708106,58.64698816076259
0.32,0.5235987755982988,0.1844690626995023,0.04691373835421671,58.44664772172402
0.33,0.5235987755982988,0.18236044917397404,0.049645981419219866,58.246608443119
0.34,0.5235987755982988,0.18027176855571697,0.05243997032722237,58.04688570098513
0.35,0.5235987755982988,0.17820314391549513,0.05529440938443952,57.84749656262469
0.36,0.5235987755982988,0.17615469532496938,0.058207998956784815,57.64845968649665
0.37,0.5235987755982988,0.17412654641520922,0.06117946025436878,57.44979548471385
0.38,0.5235987755982988,0.1721188208470993,0.06420753195795209,57.25152582826436
0.39,0.5235987755982988,0.17013163952375504,0.06729094069745706,57.05367418112066
0.4,0.5235987755982988,0.16816511774179346,0.07042840398760689,56.85626531297446
0.41,0.5235987755982988,0.16621937357647634,0.0736186582355056,56.65932551292537
0.42,0.5235987755982988,0.1642945243302086,0.07686046186313013,56.46288219338966
0.43,0.5235987755982988,0.16239068479973995,0.0801525641682066,56.266964142074066
0.44,0.5235987755982988,0.16050796304889073,0.08349370370471175,56.071601189020356
0.45,0.5235987755982988,0.15864646863037024,0.08688263607422594,55.87682435503953
0.46,0.5235987755982988,0.15680630921139666,0.09031813613047417,55.682665483387
0.47,0.5235987755982988,0.1549875898904352,0.09379897789188575,55.4891574214343
0.48,0.5235987755982988,0.15319041032062244,0.09732392873647074,55.29633384812301
0.49,0.5235987755982988,0.15141486743027074,0.1008917614025529,55.104229222294556
0.5,0.5235987755982988,0.14966105696623183,0.10450126787094073,54.91287859437092
0.51,0.5235987755982988,0.14792907175041467,0.10815125097478519,54.722317534071216
0.52,0.5235987755982988,0.14621899971395622,0.11184050613666242,54.532582224701756
0.53,0.5235987755982988,0.14453092340281307,0.115567827741813,54.34370927140614
0.54,0.5235987755982988,0.14286492421946037,0.11933202874981612,54.155735586304516
0.55,0.5235987755982988,0.1412210800902535,0.1231319397645603,53.96869816659819
0.56,0.5235987755982988,0.1395994643239254,0.12696638518069256,53.78263434966401
0.57,0.5235987755982988,0.13800014340846584,0.13083418541781128,53.597581588047454
0.58,0.5235987755982988,0.1364231821395075,0.13473417776471072,53.41357734175082
0.59,0.5235987755982988,0.13486864131202966,0.13866522054653319,53.2306587923504
0.6,0.5235987755982988,0.13333657708457267,0.14262616815815293,53.048863161912905
0.61,0.5235987755982988,0.13182703832727588,0.14661587120885786,52.86822751531386
0.62,0.5235987755982988,0.1303400711735484,0.15063319513307097,52.68878862989846
0.63,0.5235987755982988,0.12887571152038144,0.15467703174681335,52.510582125720845
0.64,0.5235987755982988,0.1274340019379294,0.15874625621740712,52.33364467042862
0.65,0.5235987755982988,0.12601496748273883,0.1628397677116109,52.158011145238135
0.66,0.5235987755982988,0.12461863428971821,0.1669564652176816,51.98371657548454
0.67,0.5235987755982988,0.12324502601076051,0.1710952520136525,51.81079570855769
0.68,0.5235987755982988,0.12189415699865233,0.17525504544912165,51.63928221792288
0.69,0.5235987755982988,0.12056604280177007,0.1794347613108176,51.469209845630786
