"time","sut.crane_angle","sut.control_force","sut.m_load","sut.desired_angle"
1.78,-0.24605042320245143,84.08566134997028,5,0
1.79,-0.24650792975369556,83.90860095419953,5,0
1.8,-0.24694203512862384,83.72536336724545,5,0
1.81,-0.24735279302047486,83.53604273607266,5,0
1.82,-0.24774026277721709,83.34073415389909,5,0
1.83,-0.2481045144527262,83.13953378372801,5,0
1.84,-0.24844561821152264,82.93253856657475,5,0
1.85,-0.248763650739042,82.71984638107328,5,0
1.86,-0.24905869524117577,82.50155603292191,5,0
1.87,-0.2493308407044658,82.27776722470468,5,0
1.88,-0.24958018189302075,82.04858054526736,5,0
1.89,-0.24980681382565456,81.81409465032081,5,0
1.9,-0.25001082826962967,81.57440446920612,5,0
1.91,-0.25019234227015935,81.3296157132487,5,0
1.92,-0.2503514692597065,81.07983016549574,5,0
1.93,-0.250488327754474,80.82515009692264,5,0
1.94,-0.2506030413071436,80.56567823332894,5,0
1.95,-0.25069573845961624,80.30151772223459,5,0
1.96,-0.25076652919073195,80.03276494048774,5,0
1.97,-0.25081555181654147,79.75952376069883,5,0
1.98,-0.2508429481701423,79.48189797266919,5,0
1.99,-0.25084885938284934,79.19998997968777,5,0
2,-0.25083343031918964,78.91390213065719,5,0
2.01,-0.25079680946524485,78.6237366673755,5,0
2.02,-0.25073914947094583,78.32959739433585,5,0
2.03,-0.25066060791094585,78.03159192426392,5,0
2.04,-0.2505613427119459,77.72981987502781,5,0
2.05,-0.2504415163407918,77.42438414252399,5,0
2.06,-0.2503012944219288,77.1153875004239,5,0
2.07,-0.2501408456319037,76.80293256368195,5,0
2.08,-0.2499603415938686,76.48712175204328,5,0
2.09,-0.2497599878738277,76.16807127451966,5,0
2.1,-0.24953996488914257,75.84588450143796,5,0
2.11,-0.2493004531561728,75.52066335738823,5,0
2.12,-0.24904164474710666,75.19251349714105,5,0
2.13,-0.24876373559543813,74.86154084794916,5,0
2.14,-0.2484669254817982,74.52785161422673,5,0
2.15,-0.24815141648549113,74.19155047419241,5,0
2.16,-0.24781740943799188,73.85273642198982,5,0
2.17,-0.24746511788282172,73.51151923960406,5,0
2.18,-0.24709475512598938,73.16800425827176,5,0
2.19,-0.2467065379830965,72.82229679550642,5,0
2.2,-0.24630068674770278,72.47450213919551,5,0
2.21,-0.24587742515969083,72.12472553169773,5,0
2.22,-0.24543695942414118,71.77306209695972,5,0
2.23,-0.24497951554234842,71.41961476087113,5,0
2.24,-0.24450532781323403,71.06448873055413,5,0
2.25,-0.24401462644979002,70.70778554881589,5,0
2.26,-0.24350764391126448,70.34960613325194,5,0
2.27,-0.24298461480536618,69.99005072858246,5,0
2.28,-0.24244577334055611,69.6292191373584,5,0
2.29,-0.24189134408930998,69.26721171070606,5,0
2.3,-0.24132157246534594,68.9041258265883,5,0
2.31,-0.24073669726518032,68.54005895098307,5,0
2.32,-0.24013695841191826,68.17510769922251,5,0
2.33,-0.23952259682245877,67.80936779230551,5,0
2.34,-0.23889385427470008,67.4429340132105,5,0
2.35,-0.23825099369756705,67.07591500823463,5,0
2.36,-0.2375942652249672,66.70840866499033,5,0
2.37,-0.23692391106257335,66.34050570283169,5,0
2.38,-0.2362401824215176,65.97230203452797,5,0
2.39,-0.2355433318035435,65.60389321130194,5,0
2.4,-0.2348336129378479,65.23537442976011,5,0
2.41,-0.23411128286864333,64.8668402514845,5,0
2.42,-0.2333766149025897,64.4983828717385,5,0
2.43,-0.23262985992765708,64.13009728578649,5,0
2.44,-0.23187127992748224,63.76207680984367,5,0
2.45,-0.23110113841792576,63.394414357250724,5,0
2.46,-0.23031970042478667,63.0272024399432,5,0
2.47,-0.22952723246151685,62.66053316992069,5,0
2.48,-0.2287239966009343,62.294488777545354,5,0
2.49,-0.22791025937119958,61.9291559329196,5,0
2.5,-0.22708629232317312,61.56462669413518,5,0
2.51,-0.22625236541782787,61.20098792680136,5,0
2.52,-0.22540874965036667,60.83832555480032,5,0
2.53,-0.2245557170060994,60.47672452669215,5,0
2.54,-0.22369353821423893,60.116268845175824,5,0
2.55,-0.22282245964068315,59.75704219389985,5,0
2.56,-0.22194276578426964,59.39912611303991,5,0
2.57,-0.2210547261872479,59.042601484645225,5,0
2.58,-0.2201586102273812,58.68754807421196,5,0
2.59,-0.21925468701213097,58.33404449885488,5,0
2.6,-0.21834322527284064,57.98216819547888,5,0
2.61,-0.21742448784958615,57.63200158222214,5,0
2.62,-0.2164987388476054,57.283623711914274,5,0
2.63,-0.2155662462151197,56.93710716769017,5,0
2.64,-0.21462727385901637,56.59252693694752,5,0
2.65,-0.21368208444054723,56.24995705750752,5,0
2.66,-0.21273093924771394,55.90947061074422,5,0
2.67,-0.2117740997514994,55.57113982197022,5,0
2.68,-0.21081186495104748,55.235038440482406,5,0
2.69,-0.20984447659099723,54.901235703418536,5,0
2.7,-0.2088721976016968,54.569801333446264,5,0
2.71,-0.2078952902247288,54.240804146675906,5,0
2.72,-0.20691401597290698,53.914312051370175,5,0
2.73,-0.2059286355902739,53.59039204665427,5,0
2.74,-0.2049394255672234,53.26910828440243,5,0
2.75,-0.20394665909840545,52.95052429104753,5,0
2.76,-0.2029505902044597,52.634704819246636,5,0
2.77,-0.20195148369459812,52.32171233651772,5,0
2.78,-0.2009496045482143,52.011608261540246,5,0
2.79,-0.199945217948012,51.70445295430894,5,0
2.8,-0.1989385889759357,51.400305677991724,5,0
2.81,-0.19792993188769442,51.09922032967744,5,0
2.82,-0.19691953121488856,50.80125559002932,5,0
2.83,-0.195907643198488,50.50646663945343,5,0
2.84,-0.19489452285660075,50.21490741686327,5,0
2.85,-0.1938804239118489,49.92663060095926,5,0
2.86,-0.19286559871874606,49.64168759150853,5,0
2.87,-0.19185027723743625,49.36012902664916,5,0
2.88,-0.190834686208011,49.08200427180507,5,0
2.89,-0.18981908048319707,48.80736059757176,5,0
2.9,-0.18880369575254455,48.536244368522674,5,0
2.91,-0.18778876438777917,48.26870061728367,5,0
2.92,-0.18677451526801953,48.004773028426214,5,0
2.93,-0.1857611736049932,47.74450392236026,5,0
2.94,-0.18474903400172712,47.487942592316855,5,0
2.95,-0.18373829102530242,47.235125983121875,5,0
2.96,-0.18272917070447828,46.98609369378657,5,0
2.97,-0.1817218989856052,46.74088438338397,5,0
2.98,-0.1807166997755528,46.49953555165206,5,0
2.99,-0.1797137949232046,46.262083540712176,5,0
3,-0.1787134128213812,46.028563547707265,5,0
3.01,-0.1777157828314146,45.799009619480934,5,0
3.02,-0.17672111676209037,45.57345463085775,5,0
3.03,-0.1757296328055082,45.35193031670584,5,0
3.04,-0.17474154772745323,45.134467263785616,5,0
3.05,-0.17375707689565337,44.921094912527565,5,0
3.06,-0.17277643430803505,44.71184155880971,5,0
3.07,-0.17179981430306412,44.5067306529879,5,0
3.08,-0.1708274326888051,44.30578910970851,5,0
3.09,-0.16985949676462309,44.109041244220336,5,0
3.1,-0.16889621081001685,43.916509877942374,5,0
3.11,-0.16793777721414194,43.72821656284933,5,0
3.12,-0.1669843964626123,43.544181574869526,5,0
3.13,-0.16603625137137928,43.36442305344325,5,0
3.14,-0.16509351198024264,43.18895726087424,5,0
3.15,-0.164156381754435,43.01780108066167,5,0
3.16,-0.16322504372330407,42.850969092222336,5,0
3.17,-0.16229967746408688,42.688474485558686,5,0
3.18,-0.16138045899271292,42.5303290494538,5,0
3.19,-0.16046756065460654,42.37654315966593,5,0
3.2,-0.15956115215346145,42.227130392739014,5,0
3.21,-0.15866139797286968,42.08209747752362,5,0
3.22,-0.15776845893166203,41.94145104936724,5,0
3.23,-0.15688249189800885,41.80519692005444,5,0
3.24,-0.15600364956717114,41.673339606468744,5,0
3.25,-0.15513208035504047,41.54588232991357,5,0
3.26,-0.15426794689024578,41.42282938809691,5,0
3.27,-0.15341142781438258,41.304186397693066,5,0
3.28,-0.15256264491834232,41.18995101185264,5,0
3.29,-0.1517217413861534,41.080122914858386,5,0
3.3,-0.15088885757462517,40.974700745179035,5,0
3.31,-0.15006413103574665,40.87368211122897,5,0
3.32,-0.14924769653908598,40.777063607128156,5,0
3.33,-0.14843971800934036,40.68483930849643,5,0
3.34,-0.14764032190113238,40.597003962318965,5,0
3.35,-0.14684963773580442,40.51355107319981,5,0
3.36,-0.14606779819022359,40.43447291595915,5,0
3.37,-0.14529493456966913,40.359760768064554,5,0
3.38,-0.14453117691203146,40.28940492149519,5,0
3.39,-0.14377663058817472,40.223392164970704,5,0
3.4,-0.14303136157487784,40.161704199579425,5,0
3.41,-0.14229551785163824,40.104330704939294,5,0
3.42,-0.14156920666243727,40.051256129962816,5,0
3.43,-0.1408525316187103,40.002463686768884,5,0
3.44,-0.14014559261560472,39.95793534231973,5,0
3.45,-0.1394484857482366,39.91765181005755,5,0
3.46,-0.13876129492110068,39.881595543350194,5,0
3.47,-0.1380841083607241,39.849744729761696,5,0
3.48,-0.13741700976564633,39.82207645052003,5,0
3.49,-0.13676007675764915,39.798567201564005,5,0
3.5,-0.13611338237954193,39.779192313670734,5,0
3.51,-0.13547699498866955,39.76392595231297,5,0
3.52,-0.1348509878757956,39.752743376474626,5,0
3.53,-0.13423545208685675,39.745623941412106,5,0
3.54,-0.1336304300864118,39.74253571494748,5,0
3.55,-0.13303597950418966,39.74345030876869,5,0
3.56,-0.13245215415341244,39.74833849405991,5,0
3.57,-0.13187900401582048,39.75717022261584,5,0
3.58,-0.13131657522669743,39.76991464795634,5,0
3.59,-0.13076495727624365,39.78654338294899,5,0
3.6,-0.13022419341601638,39.80702438063867,5,0
3.61,-0.1296943192053053,39.83132459860172,5,0
3.62,-0.12917537999055678,39.85941121923765,5,0
3.63,-0.128667419385402,39.89125088225797,5,0
3.64,-0.1281704793942702,39.92680971530041,5,0
3.65,-0.12768459158733703,39.96605129835629,5,0
3.66,-0.12720975668445791,40.00893195191037,5,0
3.67,-0.1267460260340306,40.05541955193652,5,0
3.68,-0.12629342641148966,40.10547616844709,5,0
3.69,-0.1258519820475374,40.159063153736376,5,0
3.7,-0.12542171465001342,40.21614114950283,5,0
3.71,-0.1250026434257655,40.27667009397166,5,0
3.72,-0.12459474759889522,40.34060471367254,5,0
3.73,-0.12419803334619618,40.40790258679162,5,0
3.74,-0.12381251322651232,40.47852167100594,5,0
3.75,-0.12343818414271493,40.55241765464861,5,0
3.76,-0.12307503874165802,40.62954533372487,5,0
3.77,-0.12272306531766064,40.70985860478072,5,0
3.78,-0.12238225116295987,40.79331209557946,5,0
3.79,-0.12205259529265772,40.879867250013966,5,0
3.8,-0.12173406541677832,40.96947192236123,5,0
3.81,-0.12142663626899723,41.0620786276812,5,0
3.82,-0.12113027849650548,41.157639301629494,5,0
3.83,-0.12084495861265934,41.25610531668787,5,0
3.84,-0.12057063894963013,41.357427498394415,5,0
3.85,-0.12030733750197031,41.46156676963106,5,0
3.86,-0.12005502867095123,41.56847656165318,5,0
3.87,-0.11981365799545393,41.678105452821,5,0
3.88,-0.11958319205799976,41.79040604940257,5,0
3.89,-0.11936359622869455,41.905331060715866,5,0
3.9,-0.11915483482199186,42.022833351580395,5,0
3.91,-0.1189568675923317,42.14286432938119,5,0
3.92,-0.11876962781056197,42.265363952521426,5,0
3.93,-0.11859308800033025,42.390290614012244,5,0
3.94,-0.11842720306554934,42.51759525219683,5,0
3.95,-0.11827192658398404,42.64722874358859,5,0
3.96,-0.11812721089457381,42.779141923735295,5,0
3.97,-0.11799300718475483,42.91328560808315,5,0
3.98,-0.11786922639912872,43.04960073170627,5,0
3.99,-0.11775579852479814,43.18803330033013,5,0
4,-0.11765267650283776,43.32853537567309,5,0
4.01,-0.11755979266854055,43.471054088208014,5,0
4.02,-0.11747707637471541,43.615536080723906,5,0
4.03,-0.11740445393421867,43.76192749267277,5,0
4.04,-0.11734184785291023,43.91017446486408,5,0
4.05,-0.11728916936812175,44.06022855338175,5,0
4.06,-0.11724633847850718,44.212031983437285,5,0
