"time","sut.crane_angle","sut.control_force","sut.desired_angle","sut.crane_wire_join.measured_weight"
0,0,0,0,44.446149574231775
6.516323196551462e-13,-7.285401339152332e-19,1.0000000178640448e-10,0,44.44614957423962
6.516323196551462e-13,-7.285401339152332e-19,1.0000000178640448e-10,0,44.44614957423962
0.01,-1.5174836032213145e-5,1.5222517950919097,0,44.56595660668535
0.02,-6.015262070763281e-5,3.0199333882690245,0,44.684325184259876
0.03,-1.3424614275861987e-4,4.493247901209012,0,44.80125488697318
0.04,-2.3665294344230156e-4,5.942435735674284,0,44.91674669998133
0.05,-3.666835719767819e-4,7.36770705770777,0,45.03080146300223
0.06,-5.235827870018852e-4,8.769293890384594,0,45.143420994734036
0.07,-7.065684643826966e-4,10.147438301714125,0,45.25460779919911
0.08,-9.148559590772651e-4,11.502388604524945,0,45.364365153188324
0.09,-0.0011477293547816042,12.834379666956522,0,45.47269669784219
0.1,-0.0014044758208513492,14.143647518342908,0,45.57960649587519
0.11,-0.001684362141264059,15.430430581775735,0,45.68509873697795
0.12,-0.001986695713894793,16.694961252203328,0,45.789178046833236
0.13,-0.002310761988963981,17.937475310348326,0,45.891849204723805
0.14,-0.002655842023636354,19.158209214632,0,45.99311720449428
0.15,-0.003021330393642951,20.357391077199992,0,46.09298841125383
0.16,-0.00340653490992721,21.535255080921736,0,46.19146848277856
0.17,-0.0038107575135543394,22.692035819367895,0,46.28856321380314
0.18,-0.004233421037099603,23.827960143914076,0,46.384279887862
0.19,-0.004673859436107493,24.943260526507387,0,46.478624992755435
0.2,-0.005131405588109625,26.0381695072683,0,46.57160517278653
0.21,-0.005605507905363589,27.112910595488124,0,46.663228333146
0.22,-0.006095525236996351,28.16771446506758,0,46.753501678374484
0.23,-0.006600819746828557,29.20281152474824,0,46.84243258691612
0.24,-0.007120839110049077,30.21842352509775,0,46.930029223693076
0.25,-0.007654986960635168,31.214776811085876,0,47.01629954893237
0.26,-0.008202676413131943,32.19209673866455,0,47.10125171088144
0.27,-0.008763356423178685,33.150603022671454,0,47.18489408147516
0.28,-0.009336470225477515,34.09051716600315,0,47.2672351872323
0.29,-0.009921472475764054,35.01205917401863,0,47.3482837117323
0.3,-0.010517817270556614,35.915447247477616,0,47.42804828179587
0.31,-0.011124976989367808,36.80089849746172,0,47.50653780772808
0.32,-0.011742431798377848,37.668628729401476,0,47.58376129941959
0.33,-0.012369666081729644,38.51885137754472,0,47.65972772394827
0.34,-0.013006175926102535,39.35177934187541,0,47.73444625892456
0.35,-0.013651465450059165,40.167623997759065,0,47.80792615440299
0.36,-0.014305041279621103,40.96659443895786,0,47.88017658615058
0.37,-0.014966422840693732,41.74889898584896,0,47.951206925497175
0.38,-0.015635136600598305,42.51474435528415,0,48.02102658326105
0.39,-0.016310716783971762,43.26433576379386,0,48.089645025054686
0.4,-0.016992705597337992,43.99787695996137,0,48.15707177371155
0.41,-0.01768065322910781,44.71557022442278,0,48.22331640593201
0.42,-0.018374123684066834,45.41761509569005,0,48.288388537413944
0.43,-0.01907268170126886,46.104211227114575,0,48.35229784559799
0.44,-0.019775902613147982,46.775556233784066,0,48.41505404734436
0.45,-0.020483370029994924,47.431846198203104,0,48.476666900604364
0.46,-0.021194675706713934,48.07327569939176,0,48.53714620194762
0.47,-0.021909419531806047,48.70003781109267,0,48.59650178363106
0.48,-0.02262718529307168,49.31232015796232,0,48.65474284745084
0.49,-0.023347598431629972,49.91031431426768,0,48.711879545771886
0.5,-0.024070279341055423,50.49420820394329,0,48.76792169801619
0.51,-0.024794856153662274,51.0641881813886,0,48.8228791393919
0.52,-0.025520964740504515,51.620439031467996,0,48.87676171876497
0.53,-0.026248248166105624,52.16314392941803,0,48.92957928555109
0.54,-0.026976336219984354,52.692482935840985,0,48.981341273294774
0.55,-0.027704896761578793,53.20863677199589,0,49.0320577389346
0.56,-0.028433593328643803,53.7117837028276,0,49.081738500709065
0.57,-0.02916209688405023,54.20210040068571,0,49.13039337491026
0.58,-0.029890085815784985,54.67976194532453,0,49.178032174189525
0.59,-0.03061724453828517,55.14494188134487,0,49.22466469016153
0.6,-0.03134323956139993,55.59781320101484,0,49.270300422797504
0.61,-0.03206778245208003,56.03854575850382,0,49.31494928823369
0.62,-0.032790577069503266,56.46730843687672,0,49.3586210222106
0.63,-0.03351133429580758,56.884268543119376,0,49.40132534491874
0.64,-0.034229772036091004,57.28959180813844,0,49.443071959632206
0.65,-0.03494561309294261,57.683442643589984,0,49.48387054075969
0.66,-0.0356585634596418,58.06598676479496,0,49.523730624484784
0.67,-0.03636837272804525,58.43738389142392,0,49.562661909499305
0.68,-0.03707478262524169,58.79779396600918,0,49.60067399807697
0.69,-0.03777754149648895,59.14737540391641,0,49.637776467546985
0.7,-0.03847640430521377,59.48628509334459,0,49.67397886918278
0.71,-0.03917113060044483,59.81467872960452,0,49.70929072394065
0.72,-0.03986146980826825,60.13271323410474,0,49.74372149861241
0.73,-0.04054720217102975,60.44054002143852,0,49.777280668990684
0.74,-0.041228104132126756,60.73831069224471,0,49.80997766444312
0.75,-0.04190395790929227,61.026175458773416,0,49.84182188210568
0.76,-0.04257455143459618,61.30428315475339,0,49.87282268590627
0.77,-0.043239677667104605,61.57278140532231,0,49.90298940901568
0.78,-0.043899131356141055,61.831817447421464,0,49.93233137016517
0.79,-0.04455271847939306,62.08153571627537,0,49.96085782136087
0.8,-0.045200247999390826,62.32207994323868,0,49.98857799129122
0.81,-0.04584153408624898,62.5535925832354,0,50.015501072170466
0.82,-0.04647639604299967,62.77621482836888,0,50.04163621902919
0.83,-0.04710465899228117,62.99008651765379,0,50.06699255174543
0.84,-0.04772615655218863,63.195345775351264,0,50.09157916416027
0.85,-0.04834072177807854,63.392130250273,0,50.11540509146816
0.86,-0.04894819499252789,63.58057605090016,0,50.13847933779574
0.87,-0.04954842148514027,63.760818062639785,0,50.1608108676979
0.88,-0.05014125145256253,63.93298995943124,0,50.1824086056715
