"time","sut.desired_angle","sut.control_force","sut.crane_angle","sut.crane_wire_join.measured_weight"
0,0,0,0,44.446149574231775
3.2581367191015336e-12,0,1.0000000102340878e-13,-3.642700643726772e-18,44.44614957423962
3.2581367191015336e-12,0,1.0000000102340878e-13,-3.642700643726772e-18,44.44614957423962
0.01,0,3.0764537588983017e-4,-1.5311377184509516e-5,44.47056607175578
0.02,0,6.166984716125125e-4,-6.110305334312695e-5,44.49559765395611
0.03,0,9.271226443782354e-4,-1.372288936589317e-4,44.5212357666818
0.04,0,0.0012388677245629546,-2.4348214583694733e-4,44.547469844766994
0.05,0,0.0015519129549324037,-3.797740814388033e-4,44.574293637430245
0.06,0,0.0018662143919071007,-5.459190284430561e-4,44.601697520425724
0.07,0,0.002181711218681084,-7.416492863720157e-4,44.62966925382872
0.08,0,0.0024983946884619586,-9.669210324255514e-4,44.658204414493404
0.09,0,0.0028162050538306964,-0.00122145949797277,44.687290835055386
0.1,0,0.003135112188907878,-0.0015051261390099798,44.7169209559749
0.11,0,0.0034550727641864264,-0.0018177129567042759,44.74708509427221
0.12,0,0.0037760417303856347,-0.002159001401780307,44.777773312033666
0.13,0,0.004097980610290326,-0.0025288132431754637,44.80897689035825
0.14,0,0.004420846051941772,-0.0029269177309299557,44.840685923785166
0.15,0,0.004744594567299228,-0.0033530819209678193,44.872890511225975
0.16,0,0.005069185078948494,-0.003807111736911301,44.90558161461744
0.17,0,0.005394578011025103,-0.004288772068487615,44.9387496969917
0.18,0,0.005720733749929961,-0.004797828168756998,44.97238527072694
0.19,0,0.0060476102063768,-0.005334069128265254,45.00647908071703
0.2,0,0.006375170919280262,-0.00589725920984675,45.04102195599576
0.21,0,0.006703379036748668,-0.006487163913723112,45.07600475672552
0.22,0,0.007032193644848194,-0.007103561601523408,45.111418271167416
0.23,0,0.007361578988103619,-0.007746212556582894,45.14725344078317
0.24,0,0.007691500138932356,-0.008414874007515843,45.18350126132537
0.25,0,0.008021920064684971,-0.009109310950117402,45.22015272475072
0.26,0,0.008352800426101962,-0.009829281040730891,45.25719864098267
0.27,0,0.008684102922254591,-0.010574539644770434,45.294629822246236
0.28,0,0.009015791522302514,-0.011344840652625594,45.33243726828862
0.29,0,0.009347829323144133,-0.01213993533085491,45.37061190307989
0.3,0,0.009680181146435308,-0.012959569557618194,45.40914473221823
0.31,0,0.010012812420926196,-0.013803485928907011,45.448026788552035
0.32,0,0.010345686834646567,-0.014671428182989327,45.48724901900414
0.33,0,0.010678769236397443,-0.015563135732563528,45.52680242291216
0.34,0,0.011012024175069007,-0.016478348362504395,45.56667801084113
0.35,0,0.011345415958528657,-0.01741680591867731,45.60686680331502
0.36,0,0.011678910249914142,-0.018378239872545714,45.64735982465693
0.37,0,0.012012472442449355,-0.019362381909234637,45.68814810835751
0.38,0,0.012346069375722163,-0.020368962179563698,45.729222800952265
0.39,0,0.01267967050005956,-0.021397710000416795,45.77057525986524
0.4,0,0.01301324155226522,-0.02244835005070918,45.81219651322894
0.41,0,0.013346750239948569,-0.023520605790501536,45.8540777449918
0.42,0,0.013680164124221047,-0.02461420046320509,45.89621014752282
0.43,0,0.014013449035057414,-0.02572886285279869,45.9385848860343
0.44,0,0.01434657413203443,-0.02686430889744698,45.981193209473844
0.45,0,0.014679507721231486,-0.0280202568872942,46.02402635829032
0.46,0,0.015012218716859198,-0.02919642401791636,46.06707562350483
0.47,0,0.015344679399012764,-0.03039253150274399,46.110332627948154
0.48,0,0.01567685843865318,-0.03160829164252051,46.15378861106248
0.49,0,0.016008726340256373,-0.032843417915081635,46.197434986987126
0.5,0,0.016340253950873136,-0.034097622463539465,46.2412631948773
0.51,0,0.01667140883427863,-0.035370622357643704,46.28526451767674
0.52,0,0.017002163279961454,-0.036662125763323686,46.32943048223731
0.53,0,0.017332488313607196,-0.03797184228578591,46.37375255972556
0.54,0,0.017662355226647733,-0.039299480328186066,46.41822224208158
0.55,0,0.017991738862773745,-0.04064475414242514,46.4628313856607
0.56,0,0.018320610965483503,-0.04200736955715844,46.50757151321468
0.57,0,0.018648944513444846,-0.04338703327876524,46.55243426938262
0.58,0,0.018976713064404065,-0.0447834514837885,46.59741135152268
0.59,0,0.019303887679264334,-0.04619633137485774,46.642494305811006
0.6,0,0.0196304422002811,-0.04762537767655012,46.687674866418405
0.61,0,0.019956350725393358,-0.049070294312155524,46.73294479312147
0.62,0,0.020281587209921334,-0.05053078466810547,46.77829584629001
0.63,0,0.020606128253513857,-0.05200655780550602,46.823720076782045
0.64,0,0.020929949392051648,-0.05349731837728663,46.86920941375307
0.65,0,0.021253025811988374,-0.05500276857059681,46.91475574568802
0.66,0,0.02157533369425473,-0.05652261176107558,46.96035106931307
0.67,0,0.021896847602439182,-0.0580565508165692,47.00598727889335
0.68,0,0.022217542926759627,-0.059604288201135246,47.051656344137086
0.69,0,0.022537396794277364,-0.061165526013777026,47.097350375460024
0.7,0,0.022856385798321804,-0.06273996589181856,47.14306146110189
0.71,0,0.02317448829685986,-0.06432731425642507,47.18878190343695
0.72,0,0.023491683309838394,-0.06592727849916195,47.23450408701739
0.73,0,0.02380794827959211,-0.06753955923656792,47.280220215098886
0.74,0,0.0241232619278115,-0.0691638601907202,47.325922649009904
0.75,0,0.024437602106202768,-0.0707998842010498,47.37160370400688
0.76,0,0.024750945827836004,-0.0724473332471758,47.4172556541299
0.77,0,0.0250632730688802,-0.07410591121811577,47.462871032405054
0.78,0,0.025374562943458225,-0.07577532112602335,47.508442329772706
0.79,0,0.025684795609334073,-0.07745526918811424,47.55396218302377
