"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
0,0,0,4,0
0.01,-1.7836888683524075e-5,0,4,0.5401255239037573
0.02,-7.109268904461451e-5,0,4,1.0863813348371243
0.03,-1.5949826880549533e-4,0,4,1.6385967924810476
0.04,-2.8280065726271245e-4,0,4,2.1966143651383456
0.05,-4.40644139011172e-4,0,4,2.7602162115225473
0.06,-6.327111418047953e-4,0,4,3.329213088934158
0.07,-8.587725688096554e-4,0,4,3.903471676845468
0.08,-0.0011184251906460382,0,4,4.482759659090178
0.09,-0.0014113991234758392,0,4,5.0669214426275975
0.1,-0.0017372859247793862,0,4,5.655732030322327
0.11,-0.0020957704002326607,0,4,6.249010378609026
0.12,-0.0024864736848435255,0,4,6.846553561247347
0.13,-0.0029089881198240603,0,4,7.448151406029175
0.14,-0.0033629666329079728,0,4,8.053608987363619
0.15,-0.003847989728033634,0,4,8.662734602463978
0.16,-0.004363683025654768,0,4,9.275328904176943
0.17,-0.004909657007617275,0,4,9.891200325742343
0.18,-0.005485505485331696,0,4,10.51016987165639
0.19,-0.006090843580843861,0,4,11.132040455604253
0.2,-0.006725260799479556,0,4,11.75663357265355
0.21,-0.007388350724101977,0,4,12.383767950712834
0.22,-0.00807970590194821,0,4,13.01325939903342
0.23,-0.008798908052343875,0,4,13.644913117873815
0.24,-0.009545539632722302,0,4,14.278547120869314
0.25,-0.010319177542919562,0,4,14.913975437312903
0.26,-0.011119390715825335,0,4,15.551019371556764
0.27,-0.011945745262608191,0,4,16.189497718714193
0.28,-0.012797803904627087,0,4,16.829227844951838
0.29,-0.013675125643107347,0,4,17.470028789124257
0.3,-0.014577271799532287,0,4,18.111717891646084
0.31,-0.015503791240030776,0,4,18.754116136792284
0.32,-0.016454231813024432,0,4,19.39704401727938
0.33,-0.017428142205822946,0,4,20.040333028713142
0.34,-0.018425065259734787,0,4,20.6838110906783
0.35,-0.019444538675685265,0,4,21.327304085603632
0.36,-0.02048609963279254,0,4,21.970640610282956
0.37,-0.021549290829909022,0,4,22.613645443987323
0.38,-0.02263364091636518,0,4,23.256151053495195
0.39,-0.023738679606048033,0,4,23.89798870732149
0.4,-0.024863941167742536,0,4,24.538998976422025
0.41,-0.026008954520066012,0,4,25.17902065598633
0.42,-0.027173243554108634,0,4,25.81789112629113
0.43,-0.02835633273526397,0,4,26.455450235072664
0.44,-0.029557749209782592,0,4,27.091532478052443
0.45,-0.030777012473842905,0,4,27.72598243171699
0.46,-0.03201364228168622,0,4,28.3586429398106
0.47,-0.033267164509363546,0,4,28.9893659389678
0.48,-0.03453710096389094,0,4,29.618002347215402
0.49,-0.03582296887646874,0,4,30.24440156113762
0.5,-0.037124286773363525,0,4,30.86841578752977
0.51,-0.03844057360011882,0,4,31.4898918085517
0.52,-0.039771345668260925,0,4,32.10868685941593
0.53,-0.04111611897282333,0,4,32.724656576836914
0.54,-0.04247441793326446,0,4,33.33766579056694
0.55,-0.043845763841701565,0,4,33.94757894577078
0.56,-0.04522967320781633,0,4,34.554258730779
0.57,-0.0466256650520695,0,4,35.15757106466597
