"time","sut.control_force","sut.crane_angle","sut.desired_angle","sut.crane_wire_join.measured_weight"
0,0,0,0,44.446149574231775
3.2581367191015336e-12,1.0000000102340878e-10,-3.642700643726772e-18,0,44.44614957423962
3.2581367191015336e-12,1.0000000102340878e-10,-3.642700643726772e-18,0,44.44614957423962
0.01,0.30764537588983015,-1.5311377184509516e-5,0,44.47056607175578
0.02,0.6166984716125126,-6.110305334312695e-5,0,44.49559765395611
0.03,0.9271226443782354,-1.372288936589317e-4,0,44.5212357666818
0.04,1.2388677245629547,-2.4348214583694733e-4,0,44.547469844766994
0.05,1.5519129549324038,-3.797740814388033e-4,0,44.574293637430245
0.06,1.8662143919071006,-5.459190284430561e-4,0,44.601697520425724
0.07,2.181711218681084,-7.416492863720157e-4,0,44.62966925382872
0.08,2.498394688461959,-9.669210324255514e-4,0,44.658204414493404
0.09,2.8162050538306964,-0.00122145949797277,0,44.687290835055386
0.1,3.1351121889078777,-0.0015051261390099798,0,44.7169209559749
0.11,3.4550727641864265,-0.0018177129567042759,0,44.74708509427221
0.12,3.776041730385635,-0.002159001401780307,0,44.777773312033666
0.13,4.0979806102903265,-0.0025288132431754637,0,44.80897689035825
0.14,4.420846051941772,-0.0029269177309299557,0,44.840685923785166
0.15,4.744594567299228,-0.0033530819209678193,0,44.872890511225975
0.16,5.069185078948494,-0.003807111736911301,0,44.90558161461744
0.17,5.394578011025104,-0.004288772068487615,0,44.9387496969917
0.18,5.720733749929962,-0.004797828168756998,0,44.97238527072694
0.19,6.047610206376801,-0.005334069128265254,0,45.00647908071703
0.2,6.3751709192802615,-0.00589725920984675,0,45.04102195599576
0.21,6.703379036748668,-0.006487163913723112,0,45.07600475672552
0.22,7.032193644848194,-0.007103561601523408,0,45.111418271167416
0.23,7.361578988103618,-0.007746212556582894,0,45.14725344078317
0.24,7.691500138932356,-0.008414874007515843,0,45.18350126132537
0.25,8.021920064684972,-0.009109310950117402,0,45.22015272475072
0.26,8.352800426101961,-0.009829281040730891,0,45.25719864098267
0.27,8.684102922254592,-0.010574539644770434,0,45.294629822246236
0.28,9.015791522302514,-0.011344840652625594,0,45.33243726828862
