"time","sut.crane_angle","sut.control_force","sut.m_load","sut.desired_angle"
0.73,-0.07021619006418156,44.25044143887574,4,0
0.74,-0.07174508714648495,44.777908390445226,4,0
0.75,-0.07327763637597758,45.299948296504276,4,0
0.76,-0.07481339445102315,45.81647129070727,4,0
0.77,-0.07635191257814353,46.32738559587723,4,0
0.78,-0.07789274798876433,46.83260327901918,4,0
0.79,-0.07943545254827283,47.332029908921356,4,0
0.8,-0.08097958974667276,47.825583416988394,4,0
0.81,-0.08252472218456859,48.31318020579543,4,0
0.82,-0.0840704264584248,48.79474436717706,4,0
0.83,-0.08561628153051977,49.270201997836054,4,0
0.84,-0.0871618606581665,49.739477254607166,4,0
0.85,-0.0887067441509798,50.20249824446084,4,0
0.86,-0.09025050552691452,50.659186414485745,4,0
0.87,-0.09179273293113907,51.10947570500225,4,0
0.88,-0.09333301346608862,51.55329853723505,4,0
0.89,-0.09487094878457261,51.990594527763946,4,0
0.9,-0.0964061443495836,52.421305688183836,4,0
0.91,-0.09793819973027695,52.84537208788252,4,0
0.92,-0.09946672248302336,53.262737798069494,4,0
0.93,-0.1009913120097211,53.67334012966673,4,0
0.94,-0.10251158504172848,54.077128878713694,4,0
0.95,-0.1040271571155486,54.47405233684847,4,0
0.96,-0.10553765861034545,54.86406547283357,4,0
0.97,-0.10704272508723667,55.24712595536282,4,0
0.98,-0.1085419860628848,55.62318953128833,4,0
0.99,-0.11003507986754711,55.99221595146007,4,0
1,-0.11152163540222013,56.35415817860978,4,0
1.01,-0.11300130127167328,56.7089815121091,4,0
1.02,-0.11447372473802454,57.05664977177101,4,0
1.03,-0.11593856797336147,57.397132922954036,4,0
1.04,-0.11739549959667438,57.73040385299609,4,0
1.05,-0.11884418207146351,58.056433570986854,4,0
1.06,-0.12028428738628223,58.37519704559438,4,0
1.07,-0.12171547693871503,58.6866625009985,4,0
1.08,-0.12313743385655238,58.9908102221809,4,0
1.09,-0.12454983978640842,59.28761904994642,4,0
1.1,-0.12595239115748152,59.577073432397086,4,0
1.11,-0.12734479197874268,59.859160881792945,4,0
1.12,-0.12872674003769588,60.133867101666766,4,0
1.13,-0.13009794323732685,60.40118166578776,4,0
1.14,-0.1314580978543141,60.66108751362981,4,0
1.15,-0.13280692357144638,60.913579257839785,4,0
1.16,-0.1341441384625049,61.15865011167473,4,0
1.17,-0.1354694750880616,61.3962983569786,4,0
1.18,-0.13678267456996013,61.62652540531583,4,0
1.19,-0.13808347179387778,61.84933095615826,4,0
1.2,-0.13937161222552177,62.064718447146255,4,0
1.21,-0.14064682880521906,62.27268485266444,4,0
1.22,-0.14190887920772335,62.473238335706185,4,0
1.23,-0.1431575193826611,62.66638571263783,4,0
1.24,-0.1443925193273773,62.85213833492047,4,0
1.25,-0.14561365841679513,63.03051067638644,4,0
1.26,-0.14682070983025985,63.201515622339556,4,0
1.27,-0.1480134576634778,63.36516962415999,4,0
1.28,-0.14919167273141984,63.521482894634744,4,0
1.29,-0.15035515157123303,63.67047626875439,4,0
1.3,-0.1515036888914908,63.81216929363844,4,0
1.31,-0.15263709288947483,63.94658552814023,4,0
1.32,-0.15375518178216868,64.07375157737097,4,0
1.33,-0.15485776768941845,64.19369260714333,4,0
1.34,-0.155944673826537,64.30643712892919,4,0
1.35,-0.15701570963454267,64.4120077311461,4,0
1.36,-0.15807071076401055,64.51043692281188,4,0
1.37,-0.15910951106106827,64.60175603295788,4,0
1.38,-0.16013195717419176,64.68599988214416,4,0
1.39,-0.16113790623453508,64.76320619707192,4,0
1.4,-0.16212720943379152,64.83341143745831,4,0
1.41,-0.16309972894178193,64.89665509506315,4,0
1.42,-0.16405531348396574,64.95297133052412,4,0
1.43,-0.16499383715567023,65.00240311142505,4,0
1.44,-0.16591517296101418,65.04499257385892,4,0
1.45,-0.16681920577172252,65.08078478395717,4,0
1.46,-0.16770583122467064,65.10982751548062,4,0
1.47,-0.1685749392339204,65.13216746668289,4,0
