"time","sut.crane_angle","sut.desired_angle","sut.m_load","sut.control_force"
0.38,-0.028893656136936258,0,5,29.747308931638337
0.39,-0.03030847069052348,0,5,30.57431437713071
0.4,-0.03174953240158508,0,5,31.400634047925955
0.41,-0.033216253583314564,0,5,32.22606183846324
0.42,-0.03470805087053153,0,5,33.0503949080624
0.43,-0.03622433091346303,0,5,33.87343068399717
0.44,-0.03776450096756498,0,5,34.694969079895415
0.45,-0.039327967818924614,0,5,35.514812290073834
0.46,-0.04091413763417782,0,5,36.33276475382517
0.47,-0.042522413685163164,0,5,37.14863264423736
0.48,-0.04415219908767746,0,5,37.96222447877746
0.49,-0.045802896287699395,0,5,38.773351002212614
0.5,-0.047473907269313484,0,5,39.58182523099128
0.51,-0.04916463376263363,0,5,40.38746249762434
0.52,-0.05087447438889306,0,5,41.19007985999662
0.53,-0.052602820111848705,0,5,41.989495159497395
0.54,-0.054349075635665836,0,5,42.78553145907885
0.55,-0.05611263977410361,0,5,43.57801297413212
0.56,-0.05789291138074155,0,5,44.36676630337146
0.57,-0.059689289496824345,0,5,45.15162046075822
0.58,-0.061501173499107054,0,5,45.93240690742487
0.59,-0.06332796754644276,0,5,46.708959963254095
0.6,-0.06516907271935955,0,5,47.481116131530996
0.61,-0.06702389051747806,0,5,48.24871442669365
0.62,-0.06889182464172472,0,5,49.0115965506008
0.63,-0.07077228010777088,0,5,49.76960683309949
0.64,-0.07266466341044543,0,5,50.522592265412285
0.65,-0.07456838317782788,0,5,51.27040215471915
0.66,-0.07648285147215325,0,5,52.0128872783803
0.67,-0.07840747948416561,0,5,52.74990337525827
0.68,-0.08034168182924302,0,5,53.48130798290778
0.69,-0.08228487551190032,0,5,54.20696139918536
0.7,-0.08423648009607115,0,5,54.92672671109637
0.71,-0.08619591787538965,0,5,55.640469823642036
0.72,-0.08816260864020758,0,5,56.348055961821316
0.73,-0.09013597949694986,0,5,57.049355997668044
0.74,-0.09211546207333819,0,5,57.744244543731085
0.75,-0.09410048949818585,0,5,58.43259789941098
0.76,-0.09609049821724655,0,5,59.11429515390941
0.77,-0.09808492814687353,0,5,59.78921820422639
0.78,-0.10008322081212255,0,5,60.45725103936691
0.79,-0.10208481196016012,0,5,61.1182770132083
0.8,-0.10408915691915539,0,5,61.772188038801474
0.81,-0.1060957082007959,0,5,62.4188763963208
0.82,-0.10810392211659296,0,5,63.0582371038745
0.83,-0.11011325890270367,0,5,63.69016792500328
0.84,-0.11212318284475291,0,5,64.3145693761788
0.85,-0.11413315882950592,0,5,64.9313440508922
0.86,-0.11614265838266617,0,5,65.54039775808418
0.87,-0.11815115892594819,0,5,66.14163936367545
0.88,-0.12015814091030205,0,5,66.73498022588448
0.89,-0.12216308926883535,0,5,67.32033445674192
0.9,-0.12416549352944604,0,5,67.89761892725784
0.91,-0.1261648483409292,0,5,68.46675334514913
0.92,-0.1281606560945102,0,5,69.02766070029125
0.93,-0.1301524195942015,0,5,69.58026596384745
0.94,-0.13213964863929434,0,5,70.12449722882536
0.95,-0.13412185830657097,0,5,70.66028539402556
0.96,-0.13609856907081097,0,5,71.1875641705904
0.97,-0.1380693069252972,0,5,71.70627008855286
0.98,-0.14003360225658262,0,5,72.21634086014062
0.99,-0.1419909918449305,0,5,72.71771786613049
1,-0.1439410191119727,0,5,73.21034633012277
1.01,-0.14588323284887836,0,5,73.69417348846899
1.02,-0.1478171878956792,0,5,74.16914933395462
1.03,-0.1497424452571677,0,5,74.63522661626948
1.04,-0.15165857088288714,0,5,75.09236036409587
1.05,-0.1535651217395027,0,5,75.54050285666663
1.06,-0.15546168399035035,0,5,75.97961725462574
1.07,-0.1573478408310733,0,5,76.40966604110842
