"time","sut.control_force","sut.crane_angle","sut.desired_angle","sut.m_load"
0,0,0,0,5
0.01,0.686622429323091,-2.2679000030750956e-5,0,5
0.02,1.3812491568181022,-9.042321591924778e-5,0,5
0.03,2.0836694711170045,-2.029031362501432e-4,0,5
0.04,2.7936564344541726,-3.597572333117564e-4,0,5
0.05,3.5109740937425333,-5.606022702490303e-4,0,5
0.06,4.235405738048074,-8.050758595868964e-4,0,5
0.07,4.966727993970436,-0.0010928039408656862,0,5
0.08,5.704684293404348,-0.001423344866109844,0,5
0.09,6.449038905975148,-0.0017962988627818301,0,5
0.1,7.199532345610432,-0.0022111915548268233,0,5
0.11,7.955918170207013,-0.0026675933131236748,0,5
0.12,8.717953662019433,-0.003165033222857899,0,5
0.13,9.485391827101427,-0.003703061405115081,0,5
0.14,10.258001714749563,-0.004281210533043472,0,5
0.15,11.035542733003384,-0.004899021485133069,0,5
0.16,11.817779849165307,-0.005556015186407682,0,5
0.17,12.604478240951327,-0.006251713911895097,0,5
0.18,13.395404280688076,-0.006985635339428956,0,5
0.19,14.190325928414234,-0.007757291036884975,0,5
0.2,14.98900817837906,-0.008566181729044527,0,5
0.21,15.791220484853863,-0.009411807051716018,0,5
0.22,16.59673290925926,-0.01029366049082151,0,5
0.23,17.40531409075981,-0.011211227311128962,0,5
0.24,18.216726196893596,-0.012163979519238971,0,5
0.25,19.030741492182244,-0.013151392742467596,0,5
0.26,19.847129134071267,-0.014172932777520247,0,5
0.27,20.665663695222964,-0.015228066595590733,0,5
0.28,21.48611956000898,-0.01631625407310046,0,5
0.29,22.30826829442035,-0.01743694411039738,0,5
0.3,23.13188413292509,-0.018589582755090484,0,5
0.31,23.956749274616946,-0.019773625903527253,0,5
0.32,24.782639251010934,-0.0209885076536754,0,5
0.33,25.609333362941634,-0.022233662878464813,0,5
0.34,26.436613841357225,-0.023508526356788084,0,5
0.35,27.26426677170974,-0.02481253527785522,0,5
0.36,28.092075388533246,-0.026145111074889357,0,5
0.37,28.919826080784347,-0.027505675694773298,0,5
0.38,29.747308931638333,-0.028893656136936258,0,5
0.39,30.574314377130708,-0.03030847069052348,0,5
0.4,31.400634047925955,-0.03174953240158508,0,5
0.41,32.22606183846324,-0.033216253583314564,0,5
0.42,33.0503949080624,-0.03470805087053153,0,5
0.43,33.87343068399717,-0.03622433091346303,0,5
0.44,34.694969079895415,-0.03776450096756498,0,5
0.45,35.514812290073834,-0.039327967818924614,0,5
0.46,36.33276475382517,-0.04091413763417782,0,5
0.47,37.14863264423736,-0.042522413685163164,0,5
0.48,37.96222447877746,-0.04415219908767746,0,5
0.49,38.77335100221261,-0.045802896287699395,0,5
0.5,39.58182523099128,-0.047473907269313484,0,5
0.51,40.38746249762435,-0.04916463376263363,0,5
0.52,41.19007985999662,-0.05087447438889306,0,5
0.53,41.98949515949739,-0.052602820111848705,0,5
0.54,42.78553145907885,-0.054349075635665836,0,5
0.55,43.57801297413212,-0.05611263977410361,0,5
0.56,44.36676630337146,-0.05789291138074155,0,5
0.57,45.15162046075822,-0.059689289496824345,0,5
0.58,45.93240690742487,-0.061501173499107054,0,5
0.59,46.708959963254095,-0.06332796754644276,0,5
0.6,47.481116131530996,-0.06516907271935955,0,5
0.61,48.24871442669365,-0.06702389051747806,0,5
0.62,49.0115965506008,-0.06889182464172472,0,5
0.63,49.76960683309949,-0.07077228010777088,0,5
0.64,50.522592265412285,-0.07266466341044543,0,5
0.65,51.27040215471915,-0.0745683831778279,0,5
0.66,52.0128872783803,-0.07648285147215325,0,5
0.67,52.749903375258256,-0.07840747948416563,0,5
0.68,53.48130798290778,-0.08034168182924303,0,5
0.69,54.20696139918536,-0.08228487551190032,0,5
0.7,54.926726711096364,-0.08423648009607115,0,5
0.71,55.640469823642036,-0.08619591787538965,0,5
0.72,56.34805596182131,-0.08816260864020758,0,5
0.73,57.049355997668044,-0.09013597949694986,0,5
0.74,57.744244543731085,-0.09211546207333819,0,5
0.75,58.43259789941098,-0.09410048949818588,0,5
0.76,59.11429515390941,-0.09609049821724655,0,5
0.77,59.78921820422639,-0.09808492814687353,0,5
0.78,60.4572510393669,-0.10008322081212255,0,5
0.79,61.1182770132083,-0.10208481196016012,0,5
0.8,61.772188038801474,-0.10408915691915539,0,5
0.81,62.4188763963208,-0.1060957082007959,0,5
0.82,63.05823710387449,-0.10810392211659296,0,5
0.83,63.69016792500328,-0.11011325890270367,0,5
0.84,64.31456937617878,-0.11212318284475291,0,5
0.85,64.93134405089219,-0.11413315882950592,0,5
0.86,65.54039775808417,-0.11614265838266617,0,5
0.87,66.14163936367544,-0.11815115892594819,0,5
0.88,66.73498022588448,-0.12015814091030205,0,5
0.89,67.32033445674192,-0.12216308926883535,0,5
0.9,67.89761892725784,-0.12416549352944604,0,5
0.91,68.46675334514913,-0.1261648483409292,0,5
0.92,69.02766070029125,-0.1281606560945102,0,5
0.93,69.58026596384744,-0.1301524195942015,0,5
0.94,70.12449722882536,-0.13213964863929434,0,5
0.95,70.66028539402556,-0.13412185830657097,0,5
0.96,71.1875641705904,-0.13609856907081097,0,5
0.97,71.70627008855286,-0.1380693069252972,0,5
0.98,72.2163408601406,-0.14003360225658262,0,5
0.99,72.71771786613049,-0.14199099184493053,0,5
1,73.21034633012277,-0.1439410191119727,0,5
1.01,73.69417348846898,-0.14588323284887836,0,5
1.02,74.16914933395464,-0.1478171878956792,0,5
1.03,74.63522661626948,-0.1497424452571677,0,5
1.04,75.09236036409585,-0.15165857088288714,0,5
